# Files where sign tokenisation cannot round-trip through the slots the converter
# keeps. Checked in so a NEW lossy file fails the gate rather than being absorbed
# into a tolerance. Format: path<TAB>reason
#
# This is not a tolerance for sloppiness: the gate demands 100% everywhere else.
CTH 530_XML_KULTINV/KBo 70.109+.xml	unclosed <w> swallows ~30 lines; parses because tags balance, so the repair stage cannot see it

# Exposed by running the gate over the repaired stream (review finding 8).
CTH 209_XML_TLH/KBo 12.55.xml	crossing-tag repair leaves a <w> span enclosing whole lines and nested words; the enclosing word tokenises to one empty token that the converter filters. Same defect as the 310-word deficit in reports/structure.md.
CTH 294_XML_TLH/KBo 31.43.xml	crossing-tag repair leaves a <w> span enclosing whole lines and nested words; the enclosing word tokenises to one empty token that the converter filters. Same defect as the 310-word deficit in reports/structure.md.
CTH 297_XML_TLH/KBo 31.47.xml	crossing-tag repair leaves a <w> span enclosing whole lines and nested words; the enclosing word tokenises to one empty token that the converter filters. Same defect as the 310-word deficit in reports/structure.md.
CTH 297_XML_TLH/KBo 8.30.xml	crossing-tag repair leaves a <w> span enclosing whole lines and nested words; the enclosing word tokenises to one empty token that the converter filters. Same defect as the 310-word deficit in reports/structure.md.
CTH 324_XML_MYTH/KUB 33.5.xml	crossing-tag repair leaves a <w> span enclosing whole lines and nested words; the enclosing word tokenises to one empty token that the converter filters. Same defect as the 310-word deficit in reports/structure.md.
CTH 334_XML_MYTH/KBo 52.9.xml	crossing-tag repair leaves a <w> span enclosing whole lines and nested words; the enclosing word tokenises to one empty token that the converter filters. Same defect as the 310-word deficit in reports/structure.md.
CTH 341_XML_MYTH/KBo 22.91.xml	crossing-tag repair leaves a <w> span enclosing whole lines and nested words; the enclosing word tokenises to one empty token that the converter filters. Same defect as the 310-word deficit in reports/structure.md.
CTH 345_XML_MYTH/KUB 33.98.xml	crossing-tag repair leaves a <w> span enclosing whole lines and nested words; the enclosing word tokenises to one empty token that the converter filters. Same defect as the 310-word deficit in reports/structure.md.
CTH 394_XML_BESRIT/Bo 3353.xml	crossing-tag repair leaves a <w> span enclosing whole lines and nested words; the enclosing word tokenises to one empty token that the converter filters. Same defect as the 310-word deficit in reports/structure.md.
CTH 411_XML_BESRIT/KBo 41.40+.xml	crossing-tag repair leaves a <w> span enclosing whole lines and nested words; the enclosing word tokenises to one empty token that the converter filters. Same defect as the 310-word deficit in reports/structure.md.
CTH 445_XML_BESRIT/KBo 59.9.xml	crossing-tag repair leaves a <w> span enclosing whole lines and nested words; the enclosing word tokenises to one empty token that the converter filters. Same defect as the 310-word deficit in reports/structure.md.
CTH 448_XML_BESRIT/KBo 10.36.xml	crossing-tag repair leaves a <w> span enclosing whole lines and nested words; the enclosing word tokenises to one empty token that the converter filters. Same defect as the 310-word deficit in reports/structure.md.
CTH 450_XML_BESRIT/KUB 12.22.xml	crossing-tag repair leaves a <w> span enclosing whole lines and nested words; the enclosing word tokenises to one empty token that the converter filters. Same defect as the 310-word deficit in reports/structure.md.
CTH 470_XML_TLH/DBH 46_2.51.xml	crossing-tag repair leaves a <w> span enclosing whole lines and nested words; the enclosing word tokenises to one empty token that the converter filters. Same defect as the 310-word deficit in reports/structure.md.
CTH 470_XML_TLH/IBoT 4.286.xml	crossing-tag repair leaves a <w> span enclosing whole lines and nested words; the enclosing word tokenises to one empty token that the converter filters. Same defect as the 310-word deficit in reports/structure.md.
